problem,instance,number of objectives,chromosome size,solver,seed,metric name,metric value
MOTSP,kroAB1000,2,1000,MHACO,608055156,Hypervolume Ratio,0.663474
MOTSP,kroAB1000,2,1000,MHACO,467424509,Hypervolume Ratio,0.658579
MOTSP,kroAB1000,2,1000,MHACO,944441939,Hypervolume Ratio,0.657668
MOTSP,kroAB1000,2,1000,MHACO,414977408,Hypervolume Ratio,0.659237
MOTSP,kroAB1000,2,1000,MHACO,819312498,Hypervolume Ratio,0.660148
MOTSP,kroAB1000,2,1000,MHACO,562386085,Hypervolume Ratio,0.661394
MOTSP,kroAB1000,2,1000,MHACO,287613914,Hypervolume Ratio,0.663317
MOTSP,kroAB1000,2,1000,MHACO,755772793,Hypervolume Ratio,0.662336
MOTSP,kroAB1000,2,1000,IHS,305089489,Hypervolume Ratio,0.68099
MOTSP,kroAB1000,2,1000,IHS,511812191,Hypervolume Ratio,0.679903
MOTSP,kroAB1000,2,1000,IHS,608055156,Hypervolume Ratio,0.68072
MOTSP,kroAB1000,2,1000,IHS,467424509,Hypervolume Ratio,0.672267
MOTSP,kroAB1000,2,1000,IHS,944441939,Hypervolume Ratio,0.672114
MOTSP,kroAB1000,2,1000,IHS,414977408,Hypervolume Ratio,0.683067
MOTSP,kroAB1000,2,1000,IHS,819312498,Hypervolume Ratio,0.675424
MOTSP,kroAB1000,2,1000,IHS,562386085,Hypervolume Ratio,0.679167
MOTSP,kroAB1000,2,1000,IHS,287613914,Hypervolume Ratio,0.682094
MOTSP,kroAB1000,2,1000,IHS,755772793,Hypervolume Ratio,0.678316
MOTSP,kroAB1000,2,1000,NS-BRKGA,305089489,Hypervolume Ratio,0.943818
MOTSP,kroAB1000,2,1000,NS-BRKGA,511812191,Hypervolume Ratio,0.930357
MOTSP,kroAB1000,2,1000,NS-BRKGA,608055156,Hypervolume Ratio,0.948035
MOTSP,kroAB1000,2,1000,NS-BRKGA,467424509,Hypervolume Ratio,0.935039
MOTSP,kroAB1000,2,1000,NS-BRKGA,944441939,Hypervolume Ratio,0.934579
MOTSP,kroAB1000,2,1000,NS-BRKGA,414977408,Hypervolume Ratio,0.952243
MOTSP,kroAB1000,2,1000,NS-BRKGA,819312498,Hypervolume Ratio,0.942842
MOTSP,kroAB1000,2,1000,NS-BRKGA,562386085,Hypervolume Ratio,0.929053
MOTSP,kroAB1000,2,1000,NS-BRKGA,287613914,Hypervolume Ratio,0.932972
MOTSP,kroAB1000,2,1000,NS-BRKGA,755772793,Hypervolume Ratio,0.944522
MOTSP,kroABC100,3,100,NSGA-II,305089489,Hypervolume Ratio,0.924946
MOTSP,kroABC100,3,100,NSGA-II,511812191,Hypervolume Ratio,0.906282
MOTSP,kroABC100,3,100,NSGA-II,608055156,Hypervolume Ratio,0.924446
MOTSP,kroABC100,3,100,NSGA-II,467424509,Hypervolume Ratio,0.897018
MOTSP,kroABC100,3,100,NSGA-II,944441939,Hypervolume Ratio,0.88202
MOTSP,kroABC100,3,100,NSGA-II,414977408,Hypervolume Ratio,0.947267
MOTSP,kroABC100,3,100,NSGA-II,819312498,Hypervolume Ratio,0.91575
MOTSP,kroABC100,3,100,NSGA-II,562386085,Hypervolume Ratio,0.906337
MOTSP,kroABC100,3,100,NSGA-II,287613914,Hypervolume Ratio,0.899484
MOTSP,kroABC100,3,100,NSGA-II,755772793,Hypervolume Ratio,0.8826
MOTSP,kroABC100,3,100,NSPSO,305089489,Hypervolume Ratio,0.784746
MOTSP,kroABC100,3,100,NSPSO,511812191,Hypervolume Ratio,0.813301
MOTSP,kroABC100,3,100,NSPSO,608055156,Hypervolume Ratio,0.835934
MOTSP,kroABC100,3,100,NSPSO,467424509,Hypervolume Ratio,0.811519
MOTSP,kroABC100,3,100,NSPSO,944441939,Hypervolume Ratio,0.790126
MOTSP,kroABC100,3,100,NSPSO,414977408,Hypervolume Ratio,0.809147
MOTSP,kroABC100,3,100,NSPSO,819312498,Hypervolume Ratio,0.822753
MOTSP,kroABC100,3,100,NSPSO,562386085,Hypervolume Ratio,0.784298
MOTSP,kroABC100,3,100,NSPSO,287613914,Hypervolume Ratio,0.815537
MOTSP,kroABC100,3,100,NSPSO,755772793,Hypervolume Ratio,0.780963
MOTSP,kroABC100,3,100,MOEA/D-DE,305089489,Hypervolume Ratio,0.886348
MOTSP,kroABC100,3,100,MOEA/D-DE,511812191,Hypervolume Ratio,0.891061
MOTSP,kroABC100,3,100,MOEA/D-DE,608055156,Hypervolume Ratio,0.892344
MOTSP,kroABC100,3,100,MOEA/D-DE,467424509,Hypervolume Ratio,0.93842
MOTSP,kroABC100,3,100,MOEA/D-DE,944441939,Hypervolume Ratio,0.884297
MOTSP,kroABC100,3,100,MOEA/D-DE,414977408,Hypervolume Ratio,0.886725
MOTSP,kroABC100,3,100,MOEA/D-DE,819312498,Hypervolume Ratio,0.909907
MOTSP,kroABC100,3,100,MOEA/D-DE,562386085,Hypervolume Ratio,0.912523
MOTSP,kroABC100,3,100,MOEA/D-DE,287613914,Hypervolume Ratio,0.89924
MOTSP,kroABC100,3,100,MOEA/D-DE,755772793,Hypervolume Ratio,0.880049
MOTSP,kroABC100,3,100,MHACO,305089489,Hypervolume Ratio,0.595139
MOTSP,kroABC100,3,100,MHACO,511812191,Hypervolume Ratio,0.538313
MOTSP,kroABC100,3,100,MHACO,608055156,Hypervolume Ratio,0.537849
MOTSP,kroABC100,3,100,MHACO,467424509,Hypervolume Ratio,0.508093
MOTSP,kroABC100,3,100,MHACO,944441939,Hypervolume Ratio,0.546466
MOTSP,kroABC100,3,100,MHACO,414977408,Hypervolume Ratio,0.507044
MOTSP,kroABC100,3,100,MHACO,819312498,Hypervolume Ratio,0.550356
MOTSP,kroABC100,3,100,MHACO,562386085,Hypervolume Ratio,0.518892
MOTSP,kroABC100,3,100,MHACO,287613914,Hypervolume Ratio,0.522156
MOTSP,kroABC100,3,100,MHACO,755772793,Hypervolume Ratio,0.520353
MOTSP,kroABC100,3,100,IHS,305089489,Hypervolume Ratio,0.670985
MOTSP,kroABC100,3,100,IHS,511812191,Hypervolume Ratio,0.662892
MOTSP,kroABC100,3,100,IHS,608055156,Hypervolume Ratio,0.64809
MOTSP,kroABC100,3,100,IHS,467424509,Hypervolume Ratio,0.673753
MOTSP,kroABC100,3,100,IHS,944441939,Hypervolume Ratio,0.6636
MOTSP,kroABC100,3,100,IHS,414977408,Hypervolume Ratio,0.639092
MOTSP,kroABC100,3,100,IHS,819312498,Hypervolume Ratio,0.656443
MOTSP,kroABC100,3,100,IHS,562386085,Hypervolume Ratio,0.682189
MOTSP,kroABC100,3,100,IHS,287613914,Hypervolume Ratio,0.641573
MOTSP,kroABC100,3,100,IHS,755772793,Hypervolume Ratio,0.646751
MOTSP,kroABC100,3,100,NS-BRKGA,305089489,Hypervolume Ratio,0.79964
MOTSP,kroABC100,3,100,NS-BRKGA,511812191,Hypervolume Ratio,0.811001
MOTSP,kroABC100,3,100,NS-BRKGA,608055156,Hypervolume Ratio,0.805928
MOTSP,kroABC100,3,100,NS-BRKGA,467424509,Hypervolume Ratio,0.805131
MOTSP,kroABC100,3,100,NS-BRKGA,944441939,Hypervolume Ratio,0.836891
MOTSP,kroABC100,3,100,NS-BRKGA,414977408,Hypervolume Ratio,0.81544
MOTSP,kroABC100,3,100,NS-BRKGA,819312498,Hypervolume Ratio,0.788788
MOTSP,kroABC100,3,100,NS-BRKGA,562386085,Hypervolume Ratio,0.814315
MOTSP,kroABC100,3,100,NS-BRKGA,287613914,Hypervolume Ratio,0.801798
MOTSP,kroABC100,3,100,NS-BRKGA,755772793,Hypervolume Ratio,0.808912
MOTSP,kroABC200,3,200,NSGA-II,305089489,Hypervolume Ratio,0.923394
MOTSP,kroABC200,3,200,NSGA-II,511812191,Hypervolume Ratio,0.941476
MOTSP,kroABC200,3,200,NSGA-II,608055156,Hypervolume Ratio,0.927555
MOTSP,kroABC200,3,200,NSGA-II,467424509,Hypervolume Ratio,0.935945
MOTSP,kroABC200,3,200,NSGA-II,944441939,Hypervolume Ratio,0.92808
MOTSP,kroABC200,3,200,NSGA-II,414977408,Hypervolume Ratio,0.927229
MOTSP,kroABC200,3,200,NSGA-II,819312498,Hypervolume Ratio,0.917635
MOTSP,kroABC200,3,200,NSGA-II,562386085,Hypervolume Ratio,0.911344
MOTSP,kroABC200,3,200,NSGA-II,287613914,Hypervolume Ratio,0.91891
MOTSP,kroABC200,3,200,NSGA-II,755772793,Hypervolume Ratio,0.9197
MOTSP,kroABC200,3,200,NSPSO,305089489,Hypervolume Ratio,0.735259
MOTSP,kroABC200,3,200,NSPSO,511812191,Hypervolume Ratio,0.753358
MOTSP,kroABC200,3,200,NSPSO,608055156,Hypervolume Ratio,0.747859
MOTSP,kroABC200,3,200,NSPSO,467424509,Hypervolume Ratio,0.799228
MOTSP,kroABC200,3,200,NSPSO,944441939,Hypervolume Ratio,0.742899
MOTSP,kroABC200,3,200,NSPSO,414977408,Hypervolume Ratio,0.722981
MOTSP,kroABC200,3,200,NSPSO,819312498,Hypervolume Ratio,0.764362
MOTSP,kroABC200,3,200,NSPSO,562386085,Hypervolume Ratio,0.737798
